epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,438.739,0.73119,0.86485,0.88348,0.96876,0.98043,0.995,0.77265,0.84767,0.56941,0.91893,0.000572572,0.000572572,0.000572572
76,444.137,0.76497,0.82893,0.89175,0.93768,0.97499,0.995,0.79978,0.80553,0.55706,0.88923,0.000561055,0.000561055,0.000561055
77,449.586,0.76644,0.81854,0.88573,0.92548,0.97517,0.99438,0.76725,0.8402,0.55826,0.91333,0.000549538,0.000549538,0.000549538
78,455.001,0.72611,0.84087,0.87408,0.96847,0.98483,0.995,0.81121,0.7997,0.5524,0.90012,0.000538026,0.000538026,0.000538026
79,460.385,0.71963,0.78608,0.87985,0.96876,0.98466,0.995,0.81444,0.80408,0.53494,0.89953,0.000526524,0.000526524,0.000526524
80,465.741,0.72527,0.80164,0.88806,0.97065,0.98595,0.995,0.81599,0.80892,0.53379,0.9023,0.000515037,0.000515037,0.000515037
81,471.087,0.71947,0.78579,0.89253,0.96183,1,0.995,0.82595,0.78588,0.54568,0.88807,0.00050357,0.00050357,0.00050357
82,476.475,0.68414,0.76485,0.88552,0.94445,0.99397,0.995,0.81322,0.75915,0.52254,0.87693,0.000492129,0.000492129,0.000492129
83,481.902,0.70448,0.74647,0.87478,0.9643,0.9931,0.995,0.81243,0.78865,0.51797,0.87887,0.000480717,0.000480717,0.000480717
84,487.374,0.69884,0.79118,0.87528,0.95324,0.99551,0.995,0.80689,0.80719,0.52433,0.88883,0.000469341,0.000469341,0.000469341
85,492.801,0.70608,0.75473,0.86574,0.95902,0.97768,0.99441,0.81641,0.75551,0.52379,0.87519,0.000458006,0.000458006,0.000458006
86,498.167,0.6993,0.7772,0.87638,0.96628,0.986,0.99414,0.80931,0.78582,0.52612,0.87527,0.000446715,0.000446715,0.000446715
87,503.6,0.69466,0.7742,0.86059,0.96816,0.97825,0.99469,0.79934,0.77959,0.50089,0.88058,0.000435475,0.000435475,0.000435475
88,509.013,0.69337,0.77527,0.86904,0.9709,0.97062,0.99469,0.79042,0.79766,0.50478,0.89136,0.000424289,0.000424289,0.000424289
89,514.428,0.68435,0.735,0.87889,0.94957,0.99457,0.995,0.79998,0.79539,0.50666,0.9013,0.000413164,0.000413164,0.000413164
90,519.801,0.69705,0.74915,0.86822,0.96584,0.97697,0.99469,0.82302,0.77859,0.50347,0.91058,0.000402103,0.000402103,0.000402103
91,525.206,0.68411,0.75302,0.87283,0.97107,0.98121,0.995,0.81844,0.78162,0.51544,0.88914,0.000391113,0.000391113,0.000391113
92,530.616,0.69575,0.77043,0.87067,0.97047,0.97855,0.995,0.80038,0.78897,0.51635,0.8734,0.000380196,0.000380196,0.000380196
93,536.067,0.6896,0.76237,0.87012,0.96616,0.97495,0.995,0.80773,0.77965,0.51216,0.87404,0.00036936,0.00036936,0.00036936
94,541.486,0.66493,0.74115,0.89002,0.96989,0.98488,0.995,0.8145,0.77331,0.50992,0.86605,0.000358607,0.000358607,0.000358607
95,546.918,0.67736,0.73632,0.85989,0.96256,0.98367,0.995,0.80871,0.77561,0.49618,0.86743,0.000347943,0.000347943,0.000347943
96,552.309,0.67016,0.72414,0.87263,0.95835,0.98997,0.99469,0.79757,0.75605,0.4903,0.87395,0.000337372,0.000337372,0.000337372
97,557.705,0.66919,0.73434,0.87233,0.95834,0.98153,0.99469,0.82828,0.7739,0.51959,0.88915,0.0003269,0.0003269,0.0003269
98,563.076,0.65056,0.69098,0.86765,0.94741,0.99548,0.99469,0.8237,0.77586,0.49974,0.87538,0.00031653,0.00031653,0.00031653
99,568.475,0.67853,0.73874,0.86804,0.94914,0.99801,0.99469,0.81974,0.77604,0.4983,0.87934,0.000306268,0.000306268,0.000306268
100,573.869,0.62361,0.71378,0.85495,0.95273,0.99288,0.995,0.83024,0.75221,0.49622,0.87453,0.000296117,0.000296117,0.000296117
101,579.246,0.65824,0.71891,0.86267,0.95829,0.99806,0.995,0.83259,0.75186,0.51134,0.87924,0.000286082,0.000286082,0.000286082
102,584.644,0.64561,0.71072,0.86441,0.96377,0.9971,0.995,0.83068,0.74723,0.50366,0.8837,0.000276169,0.000276169,0.000276169
103,590.072,0.63782,0.67688,0.86332,0.96436,0.99399,0.99469,0.83279,0.73903,0.50669,0.8834,0.00026638,0.00026638,0.00026638
104,595.44,0.6124,0.68926,0.85945,0.97374,0.99142,0.99469,0.8394,0.74756,0.50904,0.88152,0.00025672,0.00025672,0.00025672
105,600.82,0.63703,0.69088,0.86415,0.96345,0.98918,0.99469,0.83596,0.75074,0.51422,0.86986,0.000247194,0.000247194,0.000247194
106,606.151,0.60962,0.67623,0.85718,0.9574,0.99096,0.99441,0.83686,0.75726,0.52114,0.86861,0.000237805,0.000237805,0.000237805
107,611.577,0.61587,0.6633,0.86685,0.95418,0.98571,0.99438,0.82936,0.76338,0.51886,0.86918,0.000228559,0.000228559,0.000228559
108,617.03,0.61951,0.6778,0.87142,0.96917,0.99568,0.995,0.84022,0.73393,0.51548,0.86036,0.000219458,0.000219458,0.000219458
109,622.521,0.61248,0.69076,0.85227,0.95576,0.99205,0.99438,0.83395,0.73975,0.50854,0.86671,0.000210507,0.000210507,0.000210507
110,628.018,0.64104,0.67915,0.86536,0.96402,0.99014,0.99469,0.80363,0.77683,0.5049,0.87005,0.00020171,0.00020171,0.00020171
111,633.772,0.61518,0.67458,0.84597,0.96282,0.99159,0.99441,0.80562,0.78527,0.51887,0.86617,0.00019307,0.00019307,0.00019307
112,639.236,0.57875,0.65491,0.85337,0.96469,0.992,0.99441,0.80406,0.76281,0.5038,0.86416,0.000184592,0.000184592,0.000184592
113,644.661,0.61543,0.65117,0.86838,0.96465,0.98563,0.99441,0.79221,0.7801,0.50811,0.88028,0.000176279,0.000176279,0.000176279
114,650.132,0.6208,0.65549,0.84988,0.96057,0.98126,0.99367,0.7918,0.7898,0.51781,0.88687,0.000168134,0.000168134,0.000168134
115,655.494,0.59654,0.64782,0.8459,0.96166,0.99053,0.99414,0.81676,0.76652,0.51825,0.87166,0.000160162,0.000160162,0.000160162
116,660.868,0.60475,0.66661,0.84162,0.95551,0.99539,0.995,0.81939,0.75618,0.52268,0.86421,0.000152366,0.000152366,0.000152366
117,666.262,0.60682,0.65799,0.84599,0.95553,1,0.995,0.82491,0.75712,0.51553,0.87305,0.000144749,0.000144749,0.000144749
118,671.678,0.6107,0.65304,0.85124,0.96291,0.98846,0.99469,0.83272,0.75806,0.49518,0.87616,0.000137315,0.000137315,0.000137315
119,677.076,0.57919,0.63644,0.83357,0.96773,0.98589,0.99469,0.81388,0.75343,0.4981,0.87478,0.000130067,0.000130067,0.000130067
120,682.486,0.60317,0.67693,0.85738,0.96908,0.98351,0.995,0.8098,0.75098,0.4973,0.86923,0.000123007,0.000123007,0.000123007
121,687.881,0.59111,0.64431,0.84455,0.96772,0.99292,0.995,0.80738,0.76525,0.51264,0.86328,0.00011614,0.00011614,0.00011614
122,693.298,0.60881,0.63965,0.84888,0.95858,0.99877,0.995,0.79432,0.77285,0.50842,0.86199,0.000109468,0.000109468,0.000109468
123,698.697,0.59189,0.64052,0.85474,0.95734,1,0.995,0.79883,0.77164,0.5097,0.86036,0.000102994,0.000102994,0.000102994
124,704.068,0.56358,0.642,0.85175,0.96012,1,0.995,0.80829,0.76268,0.50383,0.85718,9.67211e-05,9.67211e-05,9.67211e-05
125,709.516,0.58188,0.63089,0.84606,0.95912,1,0.995,0.82717,0.75687,0.50126,0.85765,9.06517e-05,9.06517e-05,9.06517e-05
126,714.934,0.56988,0.64995,0.85327,0.96089,1,0.995,0.82537,0.76368,0.49974,0.85877,8.47887e-05,8.47887e-05,8.47887e-05
127,720.799,0.61555,0.66147,0.85822,0.96624,0.98884,0.995,0.82107,0.76827,0.50062,0.86237,7.91345e-05,7.91345e-05,7.91345e-05
128,726.352,0.57622,0.61307,0.86057,0.96612,0.989,0.995,0.82583,0.7724,0.50254,0.86836,7.36918e-05,7.36918e-05,7.36918e-05
129,731.746,0.59225,0.63701,0.84112,0.96758,0.984,0.99438,0.82234,0.76548,0.50273,0.86414,6.84628e-05,6.84628e-05,6.84628e-05
130,737.141,0.61081,0.63169,0.84911,0.95947,0.987,0.99438,0.82882,0.76765,0.49904,0.86409,6.34499e-05,6.34499e-05,6.34499e-05
131,742.557,0.5917,0.66667,0.86068,0.95701,0.99232,0.99438,0.82843,0.768,0.49748,0.86578,5.86552e-05,5.86552e-05,5.86552e-05
132,747.952,0.56503,0.63578,0.85336,0.95806,0.98177,0.99438,0.8323,0.77067,0.49806,0.86699,5.4081e-05,5.4081e-05,5.4081e-05
133,753.371,0.5544,0.61197,0.83988,0.96249,0.97653,0.99438,0.83165,0.7679,0.4987,0.86918,4.97291e-05,4.97291e-05,4.97291e-05
134,758.779,0.55805,0.60719,0.85025,0.96162,0.9787,0.99438,0.82948,0.76579,0.49885,0.86798,4.56015e-05,4.56015e-05,4.56015e-05
135,764.166,0.57998,0.62802,0.84469,0.9586,0.98268,0.99438,0.82734,0.76585,0.49809,0.86913,4.16999e-05,4.16999e-05,4.16999e-05
136,769.556,0.58609,0.61941,0.85829,0.95778,0.99328,0.99438,0.82563,0.76243,0.50497,0.86931,3.80262e-05,3.80262e-05,3.80262e-05
137,775.033,0.56723,0.60224,0.84429,0.96315,0.99262,0.99469,0.82423,0.76509,0.50492,0.86703,3.45819e-05,3.45819e-05,3.45819e-05
138,780.454,0.56299,0.61414,0.83306,0.96268,0.99245,0.99469,0.82487,0.77095,0.50404,0.86701,3.13686e-05,3.13686e-05,3.13686e-05
139,785.862,0.56474,0.62129,0.8502,0.96085,0.9923,0.99438,0.82444,0.77551,0.50386,0.86698,2.83875e-05,2.83875e-05,2.83875e-05
140,791.258,0.54645,0.6181,0.85145,0.96042,0.98599,0.99438,0.82565,0.77481,0.50484,0.86799,2.56402e-05,2.56402e-05,2.56402e-05
141,821.329,0.56986,0.75507,0.83517,0.96489,0.984,0.99438,0.80927,0.78456,0.50885,0.87207,2.31276e-05,2.31276e-05,2.31276e-05
142,826.753,0.55119,0.76616,0.83741,0.96899,0.984,0.99438,0.80307,0.78463,0.52094,0.87435,2.0851e-05,2.0851e-05,2.0851e-05
143,832.101,0.54492,0.7455,0.82899,0.97067,0.984,0.99438,0.80492,0.78743,0.52477,0.87573,1.88114e-05,1.88114e-05,1.88114e-05
144,837.455,0.53058,0.73705,0.83472,0.9693,0.984,0.99409,0.8088,0.78771,0.52914,0.8774,1.70096e-05,1.70096e-05,1.70096e-05
145,842.836,0.55082,0.75944,0.84724,0.96709,0.98552,0.99441,0.80533,0.79344,0.53141,0.87803,1.54465e-05,1.54465e-05,1.54465e-05
146,848.219,0.54175,0.75463,0.82717,0.96745,0.98425,0.99441,0.79859,0.79496,0.53678,0.87834,1.41227e-05,1.41227e-05,1.41227e-05
147,853.703,0.52885,0.76202,0.82755,0.9692,0.98307,0.99469,0.80012,0.79488,0.54079,0.87765,1.30387e-05,1.30387e-05,1.30387e-05
148,859.214,0.57332,0.77638,0.83334,0.96858,0.98209,0.99469,0.79322,0.79664,0.54596,0.87699,1.21952e-05,1.21952e-05,1.21952e-05
149,864.572,0.56998,0.74714,0.83626,0.96766,0.98231,0.99469,0.79537,0.79885,0.54501,0.87763,1.15924e-05,1.15924e-05,1.15924e-05
150,869.861,0.54292,0.76536,0.83761,0.96435,0.98449,0.995,0.79505,0.79866,0.54218,0.87711,1.12306e-05,1.12306e-05,1.12306e-05
